Date,Total_Accident
21/12/2014,266
22/12/2014,367
23/12/2014,346
24/12/2014,348
25/12/2014,128
26/12/2014,265
27/12/2014,269
28/12/2014,249
29/12/2014,285
30/12/2014,277
31/12/2014,223
01/01/2015,235
02/01/2015,261
03/01/2015,240
04/01/2015,214
05/01/2015,296
06/01/2015,424
07/01/2015,355
08/01/2015,458
09/01/2015,459
10/01/2015,279
11/01/2015,229
12/01/2015,402
13/01/2015,504
14/01/2015,489
15/01/2015,396
16/01/2015,491
17/01/2015,369
18/01/2015,278
19/01/2015,395
20/01/2015,438
21/01/2015,376
22/01/2015,383
23/01/2015,496
24/01/2015,394
25/01/2015,248
26/01/2015,397
27/01/2015,395
28/01/2015,424
29/01/2015,473
30/01/2015,469
31/01/2015,334
01/02/2015,233
02/02/2015,373
03/02/2015,414
04/02/2015,429
05/02/2015,388
06/02/2015,451
07/02/2015,344
08/02/2015,319
09/02/2015,442
10/02/2015,383
11/02/2015,372
12/02/2015,342
13/02/2015,430
14/02/2015,317
15/02/2015,252
16/02/2015,344
17/02/2015,459
18/02/2015,406
19/02/2015,369
20/02/2015,373
21/02/2015,347
22/02/2015,262
23/02/2015,388
24/02/2015,410
25/02/2015,335
26/02/2015,340
27/02/2015,435
28/02/2015,327
01/03/2015,250
02/03/2015,416
03/03/2015,426
04/03/2015,429
05/03/2015,360
06/03/2015,404
07/03/2015,360
08/03/2015,316
09/03/2015,336
10/03/2015,463
11/03/2015,352
12/03/2015,362
13/03/2015,397
14/03/2015,263
15/03/2015,252
16/03/2015,329
17/03/2015,358
18/03/2015,349
19/03/2015,315
20/03/2015,385
21/03/2015,311
22/03/2015,262
23/03/2015,366
24/03/2015,401
25/03/2015,420
26/03/2015,382
27/03/2015,401
28/03/2015,317
29/03/2015,245
30/03/2015,336
31/03/2015,376
01/04/2015,332
02/04/2015,354
03/04/2015,303
04/04/2015,278
05/04/2015,245
06/04/2015,352
07/04/2015,334
08/04/2015,334
09/04/2015,345
10/04/2015,397
11/04/2015,335
12/04/2015,254
13/04/2015,306
14/04/2015,420
15/04/2015,401
16/04/2015,389
17/04/2015,409
18/04/2015,347
19/04/2015,251
20/04/2015,424
21/04/2015,412
22/04/2015,438
23/04/2015,437
24/04/2015,435
25/04/2015,358
26/04/2015,313
27/04/2015,410
28/04/2015,439
29/04/2015,411
30/04/2015,411
01/05/2015,398
02/05/2015,346
03/05/2015,301
04/05/2015,317
05/05/2015,409
06/05/2015,401
07/05/2015,421
08/05/2015,418
09/05/2015,315
10/05/2015,257
11/05/2015,364
12/05/2015,433
13/05/2015,476
14/05/2015,437
15/05/2015,441
16/05/2015,378
17/05/2015,312
18/05/2015,431
19/05/2015,434
20/05/2015,441
21/05/2015,412
22/05/2015,388
23/05/2015,336
24/05/2015,274
25/05/2015,261
26/05/2015,350
27/05/2015,348
